Symbol
HDFCBANK.NS
RELIANCE.NS
TCS.NS
INFY.NS
ICICIBANK.NS
SBIN.NS
ITC.NS
LT.NS
BHARTIARTL.NS
KOTAKBANK.NS
AAPL
TSLA
MSFT
GOOGL
AMZN
META
